name,params,length,setup_time,sample_time,suc_count,total_time
brp,N=64 MAX=3,64,33.234998,-1,0,9647.230997
brp,N=64 MAX=3,128,30.549859,-1,0,19463.358653
brp,N=64 MAX=4,8,34.504687,-1,0,1373.775331
brp,N=64 MAX=4,16,33.285804,-1,0,2578.123927
brp,N=64 MAX=4,32,32.791258,-1,0,5308.325478
brp,N=64 MAX=4,64,33.276462,-1,0,9877.504369
brp,N=64 MAX=4,128,33.606374,-1,0,19482.732112
brp,N=64 MAX=5,8,41.377886,-1,0,1349.605468
brp,N=64 MAX=5,16,36.727759,-1,0,2674.075361
brp,N=64 MAX=5,32,36.079940,-1,0,4929.270478
brp,N=64 MAX=5,64,36.025687,-1,0,10609.361379
brp,N=64 MAX=5,128,36.512380,-1,0,19828.812577
